total_type,yearly_emissions,monthly_emissions,weekly_emissions
Travel,6.884075,0.5736729166666666,0.13238605769230768
Housing,12.481257,1.04010475,0.24002417307692303
Food,2.800765,0.23339708333333337,0.05386086538461539
Goods,4.841994,0.4034995,0.09311526923076922
Services,4.811384,0.4009486666666667,0.0925266153846154
Grand,31.819476,2.6516230000000003,0.611913
